创世金融安坤私募基金,1,SX4627,应收账款质押,"108,750,000.00 ",12,9/28/2017,9/28/2018
创世金融安惠私募基金,2,SX4321,应收账款质押,"30,000,000.00 ",12,9/29/2017,9/28/2018
创世金融安兴私募基金,1,SW8706,应收账款质押,"27,900,000.00 ",12,9/29/2017,9/28/2018
创世金融安兴私募基金,2,SW8706,应收账款质押,"166,400,000.00 ",12,10/13/2017,9/28/2018
创世金融安中私募基金,2,SX1304,应收账款质押,"50,000,000.00 ",6,10/17/2017,3/8/2018
创世金融安国私募基金,2,SX1777,应收账款质押,"10,000,000.00 ",6,10/17/2017,3/8/2018
创世金融安艇私募基金,2,SX2946,应收账款质押,"122,000,000.00 ",12,10/17/2017,9/18/2018
创世金融安兴私募基金,3,SW8706,应收账款质押,"62,100,000.00 ",12,10/17/2017,9/28/2018
创世金融安维私募基金,1,SX7816,应收账款质押,"200,000,000.00 ",6,10/18/2017,4/18/2018
创世金融安国私募基金,3,SX1777,应收账款质押,"20,000,000.00 ",6,10/20/2017,3/8/2018
创世金融安中私募基金,3,SX1304,应收账款质押,"22,000,000.00 ",6,10/20/2017,3/8/2018
创世金融安赢私募基金,2,SW8703,应收账款质押,"23,200,000.00 ",12,10/20/2017,9/5/2018
创世金融安艇私募基金,3,SX2946,应收账款质押,"90,000,000.00 ",12,10/20/2017,9/18/2018
创世金融安兴私募基金,4,SW8706,应收账款质押,"64,200,000.00 ",12,10/20/2017,9/28/2018
创世金融安艇私募基金,4,SX2946,应收账款质押,"10,000,000.00 ",12,10/25/2017,9/18/2018
创世金融安达私募基金,1,SW8704,应收账款质押,"94,400,000.00 ",12,10/31/2017,10/31/2018
创世金融安物私募基金,1,SX4635,应收账款质押,"70,000,000.00 ",12,10/31/2017,10/31/2018
创世金融安泰私募基金,2,SX2175,应收账款质押,"50,000,000.00 ",6,11/2/2017,3/28/2018
创世金融安国私募基金,4,SX1777,应收账款质押,"49,000,000.00 ",6,11/3/2017,3/8/2018
创世金融安达私募基金,2,SW8704,应收账款质押,"64,800,000.00 ",12,11/3/2017,10/31/2018
创世金融安物私募基金,2,SX4635,应收账款质押,"20,000,000.00 ",12,11/3/2017,10/31/2018
创世金融安国私募基金,5,SX1777,应收账款质押,"20,000,000.00 ",6,11/7/2017,3/8/2018
创世金融安物私募基金,3,SX4635 ,应收账款质押,"30,000,000.00 ",12,11/7/2017,10/31/2018
创世金融安达私募基金,3,SW8704 ,应收账款质押,"19,300,000.00 ",12,11/7/2017,10/31/2018
创世金融安升私募基金,1,SY2635,应收账款质押,"7,500,000.00 ",6,11/21/2017,5/21/2018
创世金融安腾私募基金,1,SY2636,应收账款质押,"35,000,000.00 ",6,11/21/2017,5/21/2018
创世金融安腾私募基金,2,SY2636,应收账款质押,"50,000,000.00 ",6,11/24/2017,5/21/2018
创世金融安升私募基金,2,SY2635,应收账款质押,"17,500,000.00 ",6,11/28/2017,5/21/2018
创世金融安锦私募基金,1,SY2633,应收账款质押,"20,500,000.00 ",12,11/28/2017,11/28/2018
创世金融安绣私募基金,1,SY2634,应收账款质押,"14,300,000.00 ",12,11/28/2017,11/28/2018
创世金融安升私募基金,3,SY2635,应收账款质押,"6,000,000.00 ",6,12/1/2017,5/21/2018
创世金融安腾私募基金,3,SY2636,应收账款质押,"86,100,000.00 ",6,12/1/2017,5/21/2018
创世金融安锦私募基金,2,SY2633,应收账款质押,"5,000,000.00 ",12,12/1/2017,11/28/2018
创世金融安绣私募基金,2,SY2634,应收账款质押,"28,300,000.00 ",12,12/1/2017,11/28/2018
创世金融安升私募基金,4,SY2635,应收账款质押,"2,000,000.00 ",6,12/8/2017,5/21/2018
创世金融安腾私募基金,4,SY2636,应收账款质押,"16,000,000.00 ",6,12/8/2017,5/21/2018
创世金融安荣私募基金,1,SW8707,应收账款质押,"22,400,000.00 ",12,12/8/2017,12/7/2018
创世金融安华私募基金,1,SX1307,应收账款质押,"16,000,000.00 ",12,12/8/2017,12/7/2018
创世金融安荣私募基金,2,SX8707,应收账款质押,"7,500,000.00 ",12,12/12/2017,12/7/2018
创世金融安华私募基金,2,SX1307,应收账款质押,"16,000,000.00 ",12,12/13/2017,12/7/2018
创世金融安升私募基金,5,SY2635,应收账款质押,"12,500,000.00 ",6,12/15/2017,5/21/2018
创世金融安腾私募基金,5,SY2636,应收账款质押,"43,000,000.00 ",6,12/15/2017,5/21/2018
创世金融安荣私募基金,3,SX8707,应收账款质押,"22,400,000.00 ",12,12/15/2017,12/7/2018
创世金融安华私募基金,3,SX1307,应收账款质押,"39,000,000.00 ",12,12/15/2017,12/7/2018
创世金融安升私募基金,6,SY2635,应收账款质押,"5,000,000.00 ",6,12/19/2017,5/21/2018
创世金融安荣私募基金,4,SX8707,应收账款质押,"5,000,000.00 ",12,12/19/2017,12/7/2018
创世金融安华私募基金,4,SX1307,应收账款质押,"3,000,000.00 ",12,12/19/2017,12/7/2018
创世金融安升私募基金,7,SY2635,应收账款质押,"6,600,000.00 ",6,12/27/2017,5/21/2018
创世金融安腾私募基金,7,SY2636,应收账款质押,"7,000,000.00 ",6,12/27/2017,5/21/2018
创世金融安荣私募基金,5,SX8707,应收账款质押,"4,000,000.00 ",12,12/27/2017,12/7/2018
创世金融安华私募基金,5,SX1307,应收账款质押,"6,000,000.00 ",12,12/27/2017,12/7/2018
创世金融安升私募基金,8,SY2635,应收账款质押,"3,500,000.00 ",6,1/9/2018,5/21/2018
创世金融安腾私募基金,8,SY2636,应收账款质押,"43,000,000.00 ",6,1/9/2018,5/21/2018
创世金融安升私募基金,9,SY2635,应收账款质押,"19,400,000.00 ",6,1/12/2018,5/21/2018
创世金融安腾私募基金,9,,应收账款质押,"11,000,000.00 ",6,1/12/2018,5/21/2018
创世金融安势私募基金,1,SX4626,应收账款质押,"72,000,000.00 ",6,1/17/2018,7/17/2018
创世金融安载私募基金,1,SX4634,应收账款质押,"37,300,000.00 ",6,1/17/2018,7/17/2018
创世金融安成私募基金,1,SCE262,应收账款质押,"1,000,000.00 ",9,1/18/2018,10/17/2018
创世金融安贵私募基金,1,SCE264,应收账款质押,"37,000,000.00 ",9,1/18/2018,10/17/2018
创世金融安益私募基金,1,SY6821,应收账款质押,"6,000,000.00 ",12,1/18/2018,12/13/2018
创世金融安福私募基金,1,SCD127,应收账款质押,"6,800,000.00 ",12,1/18/2018,12/13/2018
创世金融安齐私募基金,1,SY7346,应收账款质押,"11,000,000.00 ",12,1/18/2018,12/13/2018
创世金融安成私募基金,2,SCE262,应收账款质押,"10,500,000.00 ",9,1/25/2018,10/17/2018
创世金融安贵私募基金,2,SCE264,应收账款质押,"31,000,000.00 ",9,1/25/2018,10/17/2018
创世金融安福私募基金,2,SCD127,应收账款质押,"30,800,000.00 ",12,1/25/2018,12/14/2018
创世金融安齐私募基金,2,SY7346,应收账款质押,"72,000,000.00 ",12,1/25/2018,12/14/2018
创世金融安健私募基金,1,SCE267,应收账款质押,"10,000,000.00 ",12,1/26/2018,12/14/2018
创世金融安康私募基金,1,SCE268,应收账款质押,"3,000,000.00 ",12,1/26/2018,12/14/2018
